Data		Hora       Temp_atual	Temp_med	Temp_min	Temp_max      Umi_atual     Umi_med     Umi_min     Umi_max
03/10/2024	03:26:32    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.12 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:26:37    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.10 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:26:43    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:26:48    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.10 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:26:53    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.10 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:26:58    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.15 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:03    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:08    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.13 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:13    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:18    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.06 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:23    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.06 RH      50.93 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:28    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.09 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:33    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.10 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:38    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.10 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:43    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.08 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:48    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.07 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:53    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.05 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:27:58    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.07 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:03    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.06 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:08    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.07 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:13    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.06 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:18    27.33 °C	 27.64 °C	25.15 °C	 130.00 °C     57.04 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:23    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.08 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:28    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.06 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:33    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.08 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:38    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.04 RH      50.94 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:43    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.08 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:48    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.09 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:53    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.13 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:28:58    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.08 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:03    27.26 °C	 27.64 °C	25.15 °C	 130.00 °C     57.05 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:08    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.06 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:13    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.13 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:18    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:23    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.08 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:28    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:33    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:38    27.26 °C	 27.64 °C	25.15 °C	 130.00 °C     57.06 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:43    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.09 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:48    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.14 RH      50.95 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:53    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.13 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:29:58    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.12 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:03    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:08    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.13 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:13    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.13 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:18    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:23    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.12 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:28    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.08 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:33    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.09 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:38    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.09 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:43    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:48    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.09 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:53    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:30:58    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.12 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:03    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.13 RH      50.96 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:08    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:13    27.28 °C	 27.64 °C	25.15 °C	 130.00 °C     57.14 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:18    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.15 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:23    27.29 °C	 27.64 °C	25.15 °C	 130.00 °C     57.13 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:28    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.11 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:33    27.32 °C	 27.64 °C	25.15 °C	 130.00 °C     57.12 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:38    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.12 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:43    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.10 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:48    27.30 °C	 27.64 °C	25.15 °C	 130.00 °C     57.13 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:53    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:31:58    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:03    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:08    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:13    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      50.97 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:18    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:23    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:28    27.32 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:33    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:38    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:43    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:49    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:54    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:32:59    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:04    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:09    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:14    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:19    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:24    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:29    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      50.98 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:34    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:39    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:44    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:49    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:54    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:33:59    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:04    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:09    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:14    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:19    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:24    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:29    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.09 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:34    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.09 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:39    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      50.99 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:44    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:49    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:54    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:34:59    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:04    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:09    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:14    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:19    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:24    27.32 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:29    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:34    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:39    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.07 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:44    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:49    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.09 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:54    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.09 RH      51.00 RH    40.76 RH    100.00 RH   
03/10/2024	03:35:59    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:04    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:09    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.06 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:14    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:19    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:24    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:29    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:34    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:39    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:44    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.09 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:49    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:54    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:36:59    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:04    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:09    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.01 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:14    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:19    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:24    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:29    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:34    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:39    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:44    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:49    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:54    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:37:59    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:04    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:09    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:14    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:19    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:24    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      51.02 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:29    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:34    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:39    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:44    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:49    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:38:55    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:00    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:05    27.30 °C	 27.63 °C	25.15 °C	 130.00 °C     57.17 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:10    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:15    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:20    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:25    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:30    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:35    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:40    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      51.03 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:45    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:50    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:39:55    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:00    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:05    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:10    27.25 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:15    27.25 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:20    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.09 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:25    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:30    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:35    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:40    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:45    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:50    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.04 RH    40.76 RH    100.00 RH   
03/10/2024	03:40:55    27.25 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:00    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:05    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:10    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.09 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:15    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.16 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:20    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.10 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:25    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:30    27.25 °C	 27.63 °C	25.15 °C	 130.00 °C     57.12 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:35    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:40    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:45    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:50    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:41:55    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:42:00    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:42:05    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.13 RH      51.05 RH    40.76 RH    100.00 RH   
03/10/2024	03:42:10    27.25 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.06 RH    40.76 RH    100.00 RH   
03/10/2024	03:42:15    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.06 RH    40.76 RH    100.00 RH   
03/10/2024	03:42:20    27.29 °C	 27.63 °C	25.15 °C	 130.00 °C     57.15 RH      51.06 RH    40.76 RH    100.00 RH   
03/10/2024	03:42:25    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.11 RH      51.06 RH    40.76 RH    100.00 RH   
03/10/2024	03:42:30    27.26 °C	 27.63 °C	25.15 °C	 130.00 °C     57.14 RH      51.06 RH    40.76 RH    100.00 RH   
03/10/2024	03:42:35    27.28 °C	 27.63 °C	25.15 °C	 130.00 °C     57.17 RH      51.06 RH    40.76 RH    100.00 RH   
